l1d cache size,l1i cache size,l2 cache size,unrolling factor,number of cycles
16kB,16kB,256kB,2,42888018
16kB,16kB,256kB,4,42674657
16kB,16kB,256kB,8,42507319
16kB,16kB,256kB,16,42434682
16kB,16kB,256kB,32,42286086
16kB,16kB,512kB,2,42873431
16kB,16kB,512kB,4,42655754
16kB,16kB,512kB,8,42493767
16kB,16kB,512kB,16,42436606
16kB,16kB,512kB,32,42314262
16kB,16kB,1024kB,2,42885725
16kB,16kB,1024kB,4,42683820
16kB,16kB,1024kB,8,42505658
16kB,16kB,1024kB,16,42493506
16kB,16kB,1024kB,32,42314316
32kB,16kB,128kB,2,42536762
32kB,16kB,128kB,4,42308083
32kB,16kB,128kB,8,42180765
32kB,16kB,128kB,16,42130415
32kB,16kB,128kB,32,41912388
32kB,16kB,256kB,2,42519706
32kB,16kB,256kB,4,42292503
32kB,16kB,256kB,8,42164260
32kB,16kB,256kB,16,42114180
32kB,16kB,256kB,32,41900107
32kB,16kB,512kB,2,42510498
32kB,16kB,512kB,4,42284701
32kB,16kB,512kB,8,42192157
32kB,16kB,512kB,16,42105847
32kB,16kB,512kB,32,41893688
32kB,16kB,1024kB,2,42521289
32kB,16kB,1024kB,4,42317651
32kB,16kB,1024kB,8,42158084
32kB,16kB,1024kB,16,42122558
32kB,16kB,1024kB,32,41922984
64kB,16kB,128kB,2,42714634
64kB,16kB,128kB,4,42506058
64kB,16kB,128kB,8,42337431
64kB,16kB,128kB,16,42286815
64kB,16kB,128kB,32,42172511
64kB,16kB,256kB,2,42517742
64kB,16kB,256kB,4,42292503
64kB,16kB,256kB,8,42165220
64kB,16kB,256kB,16,42113910
64kB,16kB,256kB,32,41898389
64kB,16kB,512kB,2,42503220
64kB,16kB,512kB,4,42276915
64kB,16kB,512kB,8,42143386
64kB,16kB,512kB,16,42098338
64kB,16kB,512kB,32,41889209
64kB,16kB,1024kB,2,42522428
64kB,16kB,1024kB,4,42308367
64kB,16kB,1024kB,8,42161035
64kB,16kB,1024kB,16,42130498
64kB,16kB,1024kB,32,41924848
2kB,32kB,128kB,2,60000677
2kB,32kB,128kB,4,59812123
2kB,32kB,128kB,8,59649634
2kB,32kB,128kB,16,59561146
2kB,32kB,128kB,32,59409124
2kB,32kB,256kB,2,59985848
2kB,32kB,256kB,4,59795027
2kB,32kB,256kB,8,59642613
2kB,32kB,256kB,16,59545022
2kB,32kB,256kB,32,59396896
2kB,32kB,512kB,2,59966345
