L1D_cache_size,L1I_cache_size,L2_cache_size,unrolling_factor,number of cycles,L1I_KB,L1D_KB,L2_KB,total_Memory_KB,exec_time_cc
4kB,8kB,256kB,4,59698722,8,4,256,268,59698722
4kB,8kB,256kB,8,59557440,8,4,256,268,59557440
4kB,8kB,256kB,16,59459978,8,4,256,268,59459978
4kB,8kB,256kB,32,59268200,8,4,256,268,59268200
4kB,8kB,512kB,2,59866714,8,4,512,524,59866714
4kB,8kB,512kB,4,59673059,8,4,512,524,59673059
4kB,8kB,512kB,8,59528734,8,4,512,524,59528734
4kB,8kB,512kB,16,59440722,8,4,512,524,59440722
4kB,8kB,512kB,32,59260450,8,4,512,524,59260450
4kB,8kB,1024kB,2,59857358,8,4,1024,1036,59857358
4kB,8kB,1024kB,4,59671473,8,4,1024,1036,59671473
4kB,8kB,1024kB,8,59536520,8,4,1024,1036,59536520
4kB,8kB,1024kB,16,59455330,8,4,1024,1036,59455330
4kB,8kB,1024kB,32,59286673,8,4,1024,1036,59286673
8kB,8kB,128kB,2,59815325,8,8,128,144,59815325
8kB,8kB,128kB,4,59622462,8,8,128,144,59622462
8kB,8kB,128kB,8,59465548,8,8,128,144,59465548
8kB,8kB,128kB,16,59377532,8,8,128,144,59377532
8kB,8kB,128kB,32,59241019,8,8,128,144,59241019
8kB,8kB,256kB,2,59807539,8,8,256,272,59807539
8kB,8kB,256kB,4,59622674,8,8,256,272,59622674
8kB,8kB,256kB,8,59465405,8,8,256,272,59465405
8kB,8kB,256kB,16,59366499,8,8,256,272,59366499
8kB,8kB,256kB,32,59231817,8,8,256,272,59231817
8kB,8kB,512kB,2,59782495,8,8,512,528,59782495
8kB,8kB,512kB,4,59589715,8,8,512,528,59589715
8kB,8kB,512kB,8,59443606,8,8,512,528,59443606
8kB,8kB,512kB,16,59358173,8,8,512,528,59358173
8kB,8kB,512kB,32,59224398,8,8,512,528,59224398
8kB,8kB,1024kB,2,59791966,8,8,1024,1040,59791966
8kB,8kB,1024kB,4,59606499,8,8,1024,1040,59606499
8kB,8kB,1024kB,8,59463234,8,8,1024,1040,59463234
8kB,8kB,1024kB,16,59381269,8,8,1024,1040,59381269
8kB,8kB,1024kB,32,59241947,8,8,1024,1040,59241947
16kB,8kB,128kB,2,42920966,8,16,128,152,42920966
16kB,8kB,128kB,4,42731448,8,16,128,152,42731448
16kB,8kB,128kB,8,42544584,8,16,128,152,42544584
16kB,8kB,128kB,16,42469248,8,16,128,152,42469248
16kB,8kB,128kB,32,42315832,8,16,128,152,42315832
16kB,8kB,256kB,2,42906656,8,16,256,280,42906656
16kB,8kB,256kB,4,42713131,8,16,256,280,42713131
16kB,8kB,256kB,8,42527519,8,16,256,280,42527519
16kB,8kB,256kB,16,42454808,8,16,256,280,42454808
16kB,8kB,256kB,32,42344567,8,16,256,280,42344567
16kB,8kB,512kB,2,42886105,8,16,512,536,42886105
16kB,8kB,512kB,4,42669129,8,16,512,536,42669129
16kB,8kB,512kB,8,42504306,8,16,512,536,42504306
16kB,8kB,512kB,16,42434707,8,16,512,536,42434707
16kB,8kB,512kB,32,42369014,8,16,512,536,42369014
16kB,8kB,1024kB,2,42901402,8,16,1024,1048,42901402
16kB,8kB,1024kB,4,42694764,8,16,1024,1048,42694764
16kB,8kB,1024kB,8,42519040,8,16,1024,1048,42519040
16kB,8kB,1024kB,16,42473502,8,16,1024,1048,42473502
16kB,8kB,1024kB,32,42330205,8,16,1024,1048,42330205
32kB,8kB,128kB,2,42559220,8,32,128,168,42559220
32kB,8kB,128kB,4,42355825,8,32,128,168,42355825
32kB,8kB,128kB,8,42205648,8,32,128,168,42205648
32kB,8kB,128kB,16,42171073,8,32,128,168,42171073
32kB,8kB,128kB,32,41928215,8,32,128,168,41928215
32kB,8kB,256kB,2,42539342,8,32,256,296,42539342
32kB,8kB,256kB,4,42314655,8,32,256,296,42314655
32kB,8kB,256kB,8,42229252,8,32,256,296,42229252
32kB,8kB,256kB,16,42147714,8,32,256,296,42147714
